Date,Open,High,Low,Close,Adj Close,Volume
2/11/2008,80,94.019997,80,91.400002,80.529457,39250
2/18/2008,91.800003,104,86.150002,94.980003,83.68367,15890
2/25/2008,93.199997,99,93.010002,95.849998,84.450195,13615
3/3/2008,93,94.980003,80,82.099998,72.335556,40740
3/10/2008,66.199997,86,66.199997,80,70.485313,56140
3/17/2008,66.720001,78.400002,62,69.160004,60.934547,54620
3/24/2008,75.400002,82,67,81.160004,71.507339,79045
3/31/2008,78.400002,92,76,88.419998,77.90387,20905
4/7/2008,87,92.599998,81.010002,88.25,77.754082,22785
4/14/2008,88.25,90.199997,85.099998,86.230003,75.974342,7600
4/21/2008,89.800003,90,80.209999,83.32,73.410461,22600
4/28/2008,83.400002,85.599998,78.110001,80.18,70.643898,18910
5/5/2008,81,95,80,81.5,71.806908,32565
5/12/2008,85,85.5,80,82.290001,72.502968,64735
5/19/2008,82.290001,87.599998,81,82.010002,72.256218,115005
5/26/2008,84,89.599998,80.209999,82.459999,72.652733,24725
6/2/2008,83.980003,83.980003,80.599998,80.800003,71.19017,10375
6/9/2008,81,81.599998,70.410004,75.980003,66.943428,27955
6/16/2008,80.699997,88.599998,79,80.300003,70.749626,22510
6/23/2008,81,83.800003,64.519997,75.940002,66.908173,13115
6/30/2008,78.739998,80,69.620003,74.650002,65.771591,14405
7/7/2008,75,79.800003,72.019997,77.989998,68.714355,15425
7/14/2008,78.989998,79,64.110001,75.540001,66.555756,7255
7/21/2008,78.580002,78.599998,74,76.43,67.339905,9060
7/28/2008,79,79,76,77.449997,68.238586,7725
8/4/2008,78,88.800003,70.269997,78.93,69.542557,12040
8/11/2008,78.980003,79,73.019997,78.989998,69.595421,5995
8/18/2008,79,79,77.43,78,68.723175,75535
8/25/2008,85,85,72.379997,81.879997,72.141701,318550
9/1/2008,83.800003,88.739998,78.330002,82.199997,72.423637,522735
9/8/2008,83.400002,83.959999,81.010002,81.830002,72.097672,274515
9/15/2008,81.400002,83.800003,77.199997,81.400002,71.978683,23125
9/22/2008,81.599998,84.400002,80.800003,81.050003,71.669189,292480
9/29/2008,82.800003,82.800003,68.510002,79.599998,70.387001,297595
10/6/2008,79.199997,80,63.110001,75.160004,66.460907,32190
10/13/2008,68.010002,79,65.400002,71.309998,63.056499,113940
10/20/2008,72.800003,75.400002,66,72.440002,64.05571,73320
10/27/2008,72,75,58.099998,73.720001,65.187569,75600
11/3/2008,75.199997,75.199997,68,73.029999,64.577438,14615
11/10/2008,62,74.800003,62,71,62.782379,4800
11/17/2008,68,72.199997,57.200001,62.259998,55.053963,21245
11/24/2008,60.200001,65.959999,56.490002,59.990002,53.046696,10715
12/1/2008,62,62,49,58.02,51.304707,13690
12/8/2008,55.400002,59.799999,54.209999,55,48.634247,16400
12/15/2008,58,63.799999,55.799999,62.610001,55.363449,13700
12/22/2008,65.589996,65.599998,57.099998,59.84,52.914059,6705
12/29/2008,65,65,58,62.560001,55.319241,12650
1/5/2009,63.959999,63.959999,56.209999,61.119999,54.045898,17015
1/12/2009,60,60,44.400002,44.720001,39.544067,18310
1/19/2009,44.599998,53.990002,44.599998,52.450001,46.379383,10350
1/26/2009,52.450001,62.779999,49.150002,60.09,53.135117,11215
2/2/2009,63.400002,64.18,51,58.689999,51.89716,215885
2/9/2009,58,63,54.599998,61.150002,54.072433,379690
2/16/2009,61,62,55.200001,55.700001,49.253227,187040
2/23/2009,55.700001,55.900002,51.02,51.939999,45.928417,3270
3/2/2009,50.220001,50.220001,42.029999,44.610001,39.446793,27115
3/9/2009,44.610001,48.959999,39.02,39.709999,35.113922,5545
3/16/2009,39.799999,42.959999,36,41,36.254612,2635
3/23/2009,38.48,43.279999,38.48,39.400002,34.839798,5280
3/30/2009,38.700001,43.200001,38.700001,40.200001,35.547207,3240
4/6/2009,44.700001,45.98,39.799999,41.799999,36.962021,1420
4/13/2009,38.709999,51,38.709999,46.869999,41.445213,13620
4/20/2009,54,59,46,57.689999,51.012901,65980
4/27/2009,59,60.919998,54.419998,56,49.518501,6635
5/4/2009,52,62.200001,50.630001,58,51.287022,8335
5/11/2009,57.599998,60,52.07,55,48.634247,9540
5/18/2009,55,65.900002,54,57.419998,50.774147,140025
5/25/2009,61,66.400002,54.009998,61.490002,54.373085,14175
6/1/2009,60,64.199997,48.599998,49.450001,43.726604,325995
6/8/2009,50.400002,63.200001,47.330002,57.360001,50.7211,481725
6/15/2009,56,58.349998,50.259998,52.560001,46.476658,78835
6/22/2009,51.98,53.599998,48.029999,52.25,46.20253,16920
6/29/2009,55.599998,59,52.639999,56.119999,49.624611,41505
7/6/2009,56.799999,57.990002,50.860001,53.869999,47.635029,16950
7/13/2009,51.610001,60,47.029999,59.439999,52.560341,43805
7/20/2009,60,64,60,62.169998,54.974384,19645
7/27/2009,62.200001,68.940002,62.02,64.419998,56.963966,36265
8/3/2009,66.959999,70.400002,64.269997,66.959999,59.209969,245070
8/10/2009,71.760002,71.760002,63.799999,69.089996,61.093441,56970
8/17/2009,66.010002,68.809998,63.029999,67.599998,59.775887,46695
8/24/2009,66.660004,73,65.410004,68.870003,60.898907,25240
8/31/2009,66.440002,70.599998,64,68.110001,60.226871,27900
9/7/2009,71.360001,81.529999,67.099998,73.18,64.710075,132815
9/14/2009,74,78.800003,71.389999,74.699997,66.929169,46525
9/21/2009,74.699997,78.839996,69.800003,73.32,65.692711,384980
9/28/2009,72.400002,74.099998,71.199997,71.410004,63.981415,227335
10/5/2009,72.099998,73.550003,68.010002,69.269997,62.064037,17445
10/12/2009,68.599998,75.949997,68.519997,72.279999,64.760902,47625
10/19/2009,73.800003,79.82,73.32,74,66.301964,52250
10/26/2009,72,79.400002,66.120003,71,63.614079,49335
11/2/2009,71.050003,73,64.839996,70.610001,63.264641,63220
11/9/2009,69.599998,75,63.259998,73.809998,66.131737,111920
11/16/2009,72,77.800003,70.220001,75.889999,67.995346,112735
